districtid,vaccinateddose1ratio,vaccinateddose2ratio
NL_Wokha,0.197104777477862,0.07250079654689406
BR_Kishanganj,0.19935340747752012,0.03021888310459063
UP_Mainpuri,0.20028107671863804,0.030619273235791365
MH_Nanded,0.2011675867493809,0.06703315272817714
UP_Farrukhabad,0.2011941413236976,0.03499939529090751
BR_Araria,0.20171050399261053,0.03704835271693492
NL_Kiphire,0.20286741257229338,0.053605210529160584
UP_Deoria,0.20317832042221953,0.04343126258890029
UP_Shahjahanpur,0.20358299146726236,0.03487266749996175
BR_Katihar,0.2038749878298121,0.02937158848060373
UP_Hardoi,0.204581165424051,0.02524356529504538
BR_Supaul,0.20511323974597545,0.03576997823313337
BR_Madhepura,0.20653204526811877,0.03513854294366663
BR_Gopalganj,0.20962040771081478,0.03299828416104218
UP_Ambedkar Nagar,0.2097566692022313,0.033536595537406254
MH_Hingoli,0.20979746803188531,0.05045929612815275
BR_Sitamarhi,0.21111096181943198,0.0354813420127621
BR_Madhubani,0.21196515828059095,0.04167399276949863
UP_Aligarh,0.2124775680484631,0.04256933184426639
UP_Chandauli,0.21282536066974062,0.031028966240533893
BR_Aurangabad,0.21313048876941726,0.028094861840584896
UP_Jaunpur,0.21332031211756297,0.040835930011187745
PB_Bathinda,0.21575484777011578,0.06223870654111377
AS_Nagaon,0.21616081774423396,0.04684237515263293
CT_Bilaspur,0.2162921337768886,0.07223903929563764
UP_Firozabad,0.21635078033557553,0.034875324039011175
BR_Gaya,0.21766796055397142,0.046096272320239155
BR_Bhojpur,0.2184710712148151,0.03648685844890443
BR_Jamui,0.21875761543508454,0.034081930010423735
UP_Auraiya,0.21901134069566416,0.03708106658354748
UP_Kanpur Dehat,0.21907944843067303,0.032718808318078774
BR_Nawada,0.21954751963142577,0.03811511275058063
BR_Khagaria,0.22001024665154065,0.03411751013566615
CT_Dakshin Bastar Dantewada,0.22032913698049988,0.06702483706182844
BR_Lakhisarai,0.22072669725210609,0.03389908403535975
UP_Fatehpur,0.2207394369273299,0.03774062922445991
BR_Muzaffarpur,0.2223583032254114,0.04061580541971756
TN_Cuddalore,0.22245361896056431,0.044093166543485315
ML_South Garo Hills,0.22281394466536456,0.06545168406705355
UP_Azamgarh,0.22325713553766618,0.034938890265161046
BR_Saharsa,0.22443349971404686,0.04076423938829702
BR_Vaishali,0.2248298365016977,0.03924382714724747
JH_Dhanbad,0.2254292905869911,0.07588190965350176
BR_Samastipur,0.2264338977737292,0.041326826804982016
JH_Bokaro,0.2269787085480985,0.07022396997570708
PB_Gurdaspur,0.22717868637262909,0.08160167217575598
BR_Rohtas,0.2273894074092593,0.03717873265408028
PB_Tarn Taran,0.22935138220139387,0.05350263971840622
JH_Sahibganj,0.22937038868662146,0.038696573080924446
UP_Etawah,0.22998274129004115,0.0405314165418097
UP_Banda,0.23063059558410812,0.028249259479496056
AS_Karimganj,0.23127715299108154,0.04923878029048919
UP_Kannauj,0.23203566789165384,0.02482953200983209
UP_Ghazipur,0.23279188170599524,0.0319677990690192
UP_Pilibhit,0.2339322316466659,0.043610878741432206
UP_Bijnor,0.23443314751923378,0.04149495222679584
JH_Latehar,0.23482278693440517,0.04770158106572689
JH_Giridih,0.2357121768622361,0.04015663221117869
UP_Lalitpur,0.23746962979456315,0.028123137676081704
PB_Moga,0.23900974746571918,0.054474735524923025
WB_Dakshin Dinajpur,0.23912112325177953,0.10717328172687553
MH_Akola,0.23932662442265476,0.09215196377320545
MH_Amravati,0.23955692422739572,0.08718670426475145
BR_Banka,0.23986970472728272,0.03820690665202778
BR_Begusarai,0.2403047121719579,0.03788165186072167
UP_Bareilly,0.24103562684576493,0.05046130494413783
BR_Buxar,0.24163126951531688,0.044417564488452556
MH_Yavatmal,0.2419292238925272,0.07811176663247182
TN_Thanjavur,0.24535577270781292,0.0427230671393954
