District,Confirmed,State,Week
AP_Kurnool,59,Andhra Pradesh,40
AP_Kurnool,47,Andhra Pradesh,41
AP_Kurnool,39,Andhra Pradesh,42
AP_Kurnool,22,Andhra Pradesh,43
AP_Kurnool,15,Andhra Pradesh,44
AP_Kurnool,12,Andhra Pradesh,45
AP_Kurnool,20,Andhra Pradesh,46
AP_Kurnool,38,Andhra Pradesh,47
AP_Kurnool,31,Andhra Pradesh,48
AP_Kurnool,148,Andhra Pradesh,49
AP_Kurnool,267,Andhra Pradesh,50
AP_Kurnool,425,Andhra Pradesh,51
AP_Kurnool,1085,Andhra Pradesh,52
AP_Kurnool,2524,Andhra Pradesh,53
AP_Kurnool,6246,Andhra Pradesh,54
AP_Kurnool,6280,Andhra Pradesh,55
AP_Kurnool,13208,Andhra Pradesh,56
AP_Kurnool,8427,Andhra Pradesh,57
AP_Kurnool,7255,Andhra Pradesh,58
AP_Kurnool,7192,Andhra Pradesh,59
AP_Kurnool,3457,Andhra Pradesh,60
AP_Kurnool,1745,Andhra Pradesh,61
AP_Kurnool,1486,Andhra Pradesh,62
AP_Kurnool,881,Andhra Pradesh,63
AP_Kurnool,590,Andhra Pradesh,64
AP_Kurnool,431,Andhra Pradesh,65
AP_Kurnool,200,Andhra Pradesh,66
AP_Kurnool,234,Andhra Pradesh,67
AP_Kurnool,163,Andhra Pradesh,68
AP_Kurnool,280,Andhra Pradesh,69
AP_Kurnool,101,Andhra Pradesh,70
AP_Prakasam,0,Andhra Pradesh,1
AP_Prakasam,0,Andhra Pradesh,2
AP_Prakasam,61,Andhra Pradesh,3
AP_Prakasam,0,Andhra Pradesh,4
AP_Prakasam,2,Andhra Pradesh,5
AP_Prakasam,4,Andhra Pradesh,6
AP_Prakasam,8,Andhra Pradesh,7
AP_Prakasam,10,Andhra Pradesh,8
AP_Prakasam,14,Andhra Pradesh,9
AP_Prakasam,76,Andhra Pradesh,10
AP_Prakasam,97,Andhra Pradesh,11
AP_Prakasam,401,Andhra Pradesh,12
AP_Prakasam,365,Andhra Pradesh,13
AP_Prakasam,676,Andhra Pradesh,14
AP_Prakasam,1593,Andhra Pradesh,15
AP_Prakasam,2262,Andhra Pradesh,16
AP_Prakasam,2536,Andhra Pradesh,17
AP_Prakasam,3147,Andhra Pradesh,18
AP_Prakasam,4406,Andhra Pradesh,19
AP_Prakasam,5767,Andhra Pradesh,20
AP_Prakasam,6607,Andhra Pradesh,21
AP_Prakasam,7622,Andhra Pradesh,22
AP_Prakasam,5172,Andhra Pradesh,23
AP_Prakasam,5237,Andhra Pradesh,24
AP_Prakasam,4256,Andhra Pradesh,25
AP_Prakasam,3707,Andhra Pradesh,26
AP_Prakasam,2222,Andhra Pradesh,27
AP_Prakasam,1971,Andhra Pradesh,28
AP_Prakasam,1182,Andhra Pradesh,29
AP_Prakasam,1004,Andhra Pradesh,30
AP_Prakasam,509,Andhra Pradesh,31
AP_Prakasam,287,Andhra Pradesh,32
AP_Prakasam,226,Andhra Pradesh,33
AP_Prakasam,166,Andhra Pradesh,34
AP_Prakasam,170,Andhra Pradesh,35
AP_Prakasam,125,Andhra Pradesh,36
AP_Prakasam,95,Andhra Pradesh,37
AP_Prakasam,59,Andhra Pradesh,38
AP_Prakasam,39,Andhra Pradesh,39
AP_Prakasam,29,Andhra Pradesh,40
AP_Prakasam,40,Andhra Pradesh,41
AP_Prakasam,24,Andhra Pradesh,42
AP_Prakasam,10,Andhra Pradesh,43
AP_Prakasam,9,Andhra Pradesh,44
AP_Prakasam,4,Andhra Pradesh,45
AP_Prakasam,7,Andhra Pradesh,46
AP_Prakasam,5,Andhra Pradesh,47
AP_Prakasam,32,Andhra Pradesh,48
