District Id,Cases,Week
AP_Vizianagaram,652,64
AP_Vizianagaram,327,65
AP_Vizianagaram,283,66
AP_Vizianagaram,223,67
AP_Vizianagaram,157,68
AP_Vizianagaram,172,69
AP_Vizianagaram,156,70
AP_West Godavari,0,1
AP_West Godavari,0,2
AP_West Godavari,59,3
AP_West Godavari,9,4
AP_West Godavari,2,5
AP_West Godavari,5,6
AP_West Godavari,8,7
AP_West Godavari,99,8
AP_West Godavari,90,9
AP_West Godavari,226,10
AP_West Godavari,306,11
AP_West Godavari,320,12
AP_West Godavari,487,13
AP_West Godavari,1333,14
AP_West Godavari,4609,15
AP_West Godavari,5251,16
AP_West Godavari,4211,17
AP_West Godavari,5674,18
AP_West Godavari,6500,19
AP_West Godavari,5796,20
AP_West Godavari,6817,21
AP_West Godavari,7596,22
AP_West Godavari,7343,23
AP_West Godavari,6763,24
AP_West Godavari,5776,25
AP_West Godavari,4934,26
AP_West Godavari,4389,27
AP_West Godavari,3732,28
AP_West Godavari,3392,29
AP_West Godavari,2570,30
AP_West Godavari,1807,31
AP_West Godavari,1329,32
AP_West Godavari,828,33
AP_West Godavari,599,34
AP_West Godavari,426,35
AP_West Godavari,345,36
AP_West Godavari,125,37
AP_West Godavari,137,38
AP_West Godavari,156,39
AP_West Godavari,43,40
AP_West Godavari,68,41
AP_West Godavari,65,42
AP_West Godavari,34,43
AP_West Godavari,18,44
AP_West Godavari,29,45
AP_West Godavari,23,46
AP_West Godavari,32,47
AP_West Godavari,16,48
AP_West Godavari,23,49
AP_West Godavari,84,50
AP_West Godavari,86,51
AP_West Godavari,125,52
AP_West Godavari,362,53
AP_West Godavari,878,54
AP_West Godavari,3940,55
AP_West Godavari,8765,56
AP_West Godavari,9180,57
AP_West Godavari,12489,58
AP_West Godavari,9234,59
AP_West Godavari,6645,60
AP_West Godavari,4705,61
AP_West Godavari,5022,62
AP_West Godavari,4046,63
AP_West Godavari,2973,64
AP_West Godavari,2427,65
AP_West Godavari,1746,66
AP_West Godavari,1652,67
AP_West Godavari,1000,68
AP_West Godavari,879,69
AP_West Godavari,1349,70
AP_Y.S.R. Kadapa,0,1
AP_Y.S.R. Kadapa,0,2
AP_Y.S.R. Kadapa,83,3
AP_Y.S.R. Kadapa,13,4
